,PC1,PC2,PC3
HAX,0.062321045157016634,0.006767030966533213,-0.0761264694582079
HCD,0.06299110577862907,0.04272722257460341,-0.04517149910206497
HCM,0.048165831649059944,0.059600316561022534,-0.08954426402807088
HDB,0.03583772896746733,0.09832790272281855,0.03159462305357414
HDC,0.06498001367543702,0.022787605118169848,0.017839767012917066
HDG,0.0662528272176999,-0.014209982325791312,0.011427511026206493
HHP,0.03608286531947987,0.08624160752324118,-0.07160023031079452
HHS,0.06395704850682919,0.048519159673900816,-0.019052370208033267
HHV,0.053206745645039515,0.07904336792139734,-0.05410980794105582
HII,0.06911253503891795,-0.019956162296689103,0.04529461479666643
HMC,0.06503250031780415,-0.041155173060370275,0.055637279716275426
HNA,-0.042305234572596745,0.06348946071842601,0.0986612037085112
HPG,0.0587589634114442,0.06516129589722666,-0.04117790914487524
HPX,0.058301202621595806,-0.0626555810670956,0.04014049801743925
HQC,0.06488887983716651,0.017777925357508263,-0.03720825718151725
HSG,0.05539338412235765,0.07027439010549583,-0.05642290807698965
HSL,0.05514409742751851,0.0554060140674868,0.008241566708968246
HT1,0.05851001357053799,0.010524537282304694,-0.07289986952717231
HTG,0.06249949549127818,0.04240266627731672,-0.0170173610650542
HTI,0.057203914618964444,0.04510805730780091,-0.05856544932932606
HTL,0.06066748577857301,-0.0509520637103636,-0.04576561918958454
HTN,0.06464091077261776,-0.04208874224007681,0.0614061585033406
HUB,0.06900521805645912,0.015459817374547876,0.023769529555515458
HVH,0.06612177108378309,0.005681549656905424,-0.08314311409059671
HVN,0.0666665003528843,-0.021184089897644354,-0.06201928869876944
HVX,0.06911387010112297,-0.025441754313805447,-0.003362848387303301
ICT,0.060490169130230066,-0.058833710977960356,-0.015882666167836505
IJC,0.0684883354150263,0.025208374302152524,-7.11490624910822e-06
ILB,0.054647992253041254,-0.014720732614386993,0.06787798891015553
IMP,0.06241122959817218,-0.05183549776140294,0.024946670828204873
ITC,0.05710934827179161,0.037106341431885376,-0.032541230941306766
ITD,0.043804032515214635,-0.01569693001221329,-0.13875916890749773
JVC,0.06743818695923372,-0.03081889707104924,0.013431284330421314
KBC,0.06289558646602834,0.04299857570779403,0.015148902537982043
KDC,-0.010635507782475913,-0.020404496726376658,0.13908769723927208
KHG,0.06830608789951752,-0.011274041045560871,0.04021626668474008
KHP,0.06643533692617618,0.0280542186765566,-0.04880984041639208
KMR,0.06814905352283461,-0.004943096190699481,0.025595171326846942
KOS,-0.044017394765929835,0.08306521583664894,-0.011312875824267337
KSB,0.06192672102391578,0.04246418597602154,-0.05134597763420709
LBM,0.06190630398362645,-0.04741210057263374,0.05783152417018156
LCG,0.04755993895192255,0.06956529969370477,-0.09601790706907544
LDG,0.0643809400017389,-0.055063176617585814,0.0035259557686388426
LGL,0.07087666638236557,-0.004111835080402818,-0.015448344050106354
LHG,0.0685919370724259,0.02731760102584694,-0.017559005165907523
LIX,0.060315267681245066,-0.041414179184423215,0.043148636940074855
LPB,0.0343154259045889,0.1044004805311734,-0.013267708482264398
LSS,0.055200083762344136,0.0645708898509672,-0.042712643768597514
MBB,0.05836334579499339,0.06233940733237684,0.014614464090467356
MCH,0.06296473363304785,0.0240650668013198,0.06146590559381416
MHC,0.054197851685047475,0.06828258729690666,-0.0015497776994311025
MIG,0.05412209918924953,-0.006535847700322923,0.11312147141741227
MSB,0.06623086644643647,0.017289328686343468,-0.04192519179279238
MSH,0.06535276541681372,0.0011873596262867978,0.01516030629330099
MSN,0.05488453296695108,-0.07278911491415394,-0.030023090593530352
MWG,0.06275646413304362,-0.04357755978640915,0.06192674696450503
NAB,0.021402771846514585,0.12093422698769633,0.025118423332466246
NAF,0.059950644047714725,0.060172130264701834,-0.057990728629084796
NAV,0.058298106571834936,-0.0405387332884425,-0.030096156094275177
NBB,0.060582333637598046,0.046212047619912884,-0.028764850422442277
