,PC1,PC2,PC3,PC4,PC5,PC6
PAC,0.043233901095901625,-0.07721099745599723,-0.034905937896536274,0.006477692964428042,0.013672513931619511,0.10933332163849586
PAN,0.07023135311113081,0.014209399742019783,-0.011616448329894166,-0.006148070056840452,0.05343320913755341,0.03340964316554071
PC1,0.05435362714495607,0.03452088456797079,0.06398627486062285,0.050718741934975504,-0.060828520901358936,0.12641758328404473
PDR,0.06570479339985408,-0.031004082254215817,0.05793373462327802,-0.04773757104086707,0.04288146825173564,-0.016152053201373057
PDV,-0.025390366795850654,0.0721012145200869,-0.08971747884365773,0.13223247740767666,-0.028839622349342616,0.07475737226195964
PET,0.0668912407051562,0.016305000169862926,0.04626079321332931,0.06446846932097759,0.01554558517764218,-0.0022695241463775613
PGC,0.0582343144760327,-0.07015200992799137,0.009486971217169696,0.019546874778518214,0.05132751800934392,0.013712337182779156
PGD,0.00933146412506554,0.11275670169958693,-0.005087166459650871,0.10055906966422018,0.0471610850729785,-0.06819457144441735
PGV,0.0678693670964519,0.02467416594003115,-0.004566370198238875,0.04356903919031876,0.01881584166814773,-0.07671245733941968
PHC,0.06454297804626993,0.012630373442336678,-0.012639186819959193,0.03663092452135866,0.031022509958416263,-0.09729024172712898
PHR,0.07091945587572342,-0.003509795517381548,0.014518074370745423,-0.014022785509583966,-0.001793428596126605,0.0368994773759804
PIT,0.058320727697201,0.03609388247083458,0.0094594674940282,-0.010880256325219731,-0.09380192656873508,-0.15237033213579765
PLP,0.06193695261823181,-0.04873725123268079,0.037628874430129945,0.07068208187399157,0.030477479659414428,0.03303976344656702
PLX,0.06366742382271073,0.011604689814186024,-0.09187159574928147,0.020896053316167267,-0.05703208176540696,0.047380664606809
PNJ,0.012300872178144724,0.0052481035829597756,0.13563548796455627,-0.039224326852424274,-0.09927656215404816,0.1802275861482347
POW,0.058122833435229844,-0.010278481155113251,-0.08979022876433077,0.07922191484525716,-0.01823967885301599,0.08228357351651792
PPC,0.06890981775953217,-0.013914431163942512,-0.00961252119184534,-0.013803845897979101,0.01006722699526701,0.07469110455886802
PTC,0.06639726509344838,-0.03741118784068134,0.03439290646646987,0.05143656448627364,0.012294168333345519,0.00011862459807197661
PTL,0.06509981386925086,-0.011767614735317317,0.00934198352320108,0.010442431746107513,0.07545825293044159,-0.0444402143916724
PVD,0.012572856625500646,0.11701683633569675,-0.03273360587628687,0.0027156681522270544,0.0370067735350497,0.020232399583072675
PVP,0.05628674371994035,0.06102242210843544,-0.06496329736809174,-0.03704320513767414,0.04450023255705153,-0.00475377622734394
PVS,0.009298648680406465,0.12066758536551979,0.018031742182100397,0.02277221017214977,-0.010613313642590655,-0.05317936689222907
PVT,0.01761019486841606,0.11151790794001704,0.012464998608240714,-0.019711433504655165,-0.019528142970234107,0.008561886606176928
QCG,0.0557872294871684,0.06406789524362402,-0.006617245022334063,-0.0006482181866781104,0.021776876514753723,-0.13468581158734644
REE,-0.004727519920289644,-0.057582397166856356,0.13556917877833935,0.13981033997884007,0.024806810682434,0.0023126101015073243
SAB,0.010230066067212952,-0.10685756231255485,-0.06442719616158174,0.009475590183081087,0.11569373803559892,0.05635256543379855
SAM,0.06257574740217586,-0.05176079342648676,0.05649752626810933,0.027223390436406227,0.05069612531799808,-0.0072462280500485655
SAV,0.06968116280169806,0.0033234051255321487,-0.03151537810358762,-0.041665735257614675,0.012869449178192065,-0.04504870418421465
SBA,-0.03738951461797404,0.08466455759516309,0.06737418000440214,-0.01299299583906211,0.1046375509819541,0.13317450718906226
SBT,0.06648121107868774,0.0029278285787331087,-0.06236181967810704,0.05239614136148803,0.01866871734239165,0.02304551199596715
SBV,0.06071335118581325,-0.05956959441153932,0.021627509008106494,-0.06538346941698395,-0.008660846078135371,0.018009287552948942
SCR,0.0675505621011518,-0.012500837083059388,0.007313403355421637,0.08052896086318355,-0.014920419693520431,0.0195613864882475
SCS,0.06408438420723597,-0.043837243966019915,0.0357437085949704,-0.04659896509378969,-0.04262039754790464,0.022231319719343327
SFG,0.06870072573514675,-0.028512845961345314,-0.01048768772999687,-0.047990658458351716,-0.02632341029223269,0.0009252482708703599
SFI,0.06441514555444865,-0.021163860777027782,0.002613596261563323,0.06374806829128633,-0.03084129177839268,0.06523863108209935
SGN,0.0412552937845362,0.05731401126126983,-0.051627076463736175,0.11822987739772574,0.043562656000188583,0.11983716762634584
SGR,0.053741587361276655,0.05889733124600599,-0.07443204855775216,0.05252698457454804,0.07557482644101855,-0.05871143430472508
SGT,0.06785458503642268,-0.028702101007603592,0.004101216262947648,0.025141490649349046,-0.014070129455558245,-0.00589190797970552
