,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11
BWE,0.058287286632619645,-0.02249636559478569,-0.03760094513529311,0.04267713307146455,-0.08129888191676488,0.02742895820542977,-0.1788191631712606,0.04346177681818363,-0.05851461654012059,0.0005182502495016889,-0.03643265502161435
C32,0.05821413459769665,-0.0650595572255044,0.03750651378935251,0.05783841340309673,0.022482826642377742,0.03294504424937397,0.03885166109227361,-0.013638362519418953,0.004140512585584367,0.04196331866694419,0.0006057624279415037
C47,0.06549127024934795,-0.02905771076987383,0.06578048659308494,0.036597155132501544,0.00681637008709361,0.021761843207114207,0.05126689930258372,-0.04409823981210872,0.002174382031624532,-0.009531973847402779,-0.02152695865068802
CCL,0.07086401644474603,0.012377653715658294,-0.012950301668252147,-0.029525464504031537,0.015061726637017107,0.013377676905768533,0.0327963200119774,-0.02751094991852687,-0.01939368995787891,0.0008521582361804309,-0.04544892494497316
CDC,-0.04286415766062218,0.07617457735140448,0.0878057342377734,0.003253558911504112,0.047133793588991654,0.043313247300911926,-0.020701162986260117,-0.059858521675368905,-0.028062741301732575,-0.14743993608808054,0.06558239235811937
CHP,-0.038960442477757866,0.08341200771635143,0.09260370047479777,0.030516750858747232,0.01141028766086742,0.09841921147019564,0.03510616366232865,0.05338871995236367,0.07346208515628161,0.04989897418347486,0.06702233589350753
CIG,0.06856615746253032,0.022575662601575806,-0.011720837751898475,0.015951852211214167,0.018248913453943544,-0.05209150858013214,-0.0054969696678072635,0.039727013232785616,0.027295958460457403,-0.09073485700966595,-0.03538517665370029
CII,0.06579309407234696,0.02649574922475239,0.011087253194075898,0.048985531333813004,0.0833073499195821,-0.007879374262257089,-0.03759551816260142,-0.045909357963605645,0.07655739822031551,-0.019337835853843223,0.06275264629968987
CKG,0.015995554081164143,0.03708837877575648,-0.1343373563050654,-0.0051797842300861045,0.22461031745204768,-0.05746414764786763,-0.10403042508685037,0.1094562986543361,0.009589948098885937,-0.01380210045667196,0.04672155697541614
CLC,0.037312267523727446,0.0874017488591597,0.054055332828953424,-0.014642079924369394,0.012405736838489622,0.09377753560176307,0.12726673431795407,0.07519846849343649,-0.04021936060026025,0.16055559804112915,0.02730392864076649
CLL,0.01457440841955761,0.12389897289872558,0.017880512096665923,-0.006863425167836289,0.015419568956884342,-0.027508961119880458,-0.0027671045151345616,0.011824536458810297,0.014135772454405952,0.059779300967329474,0.020524243726636804
CMG,0.04836717413389421,0.03658441232052389,0.12123884648093361,0.07957705455473751,-0.05181172170821211,0.05394943658558383,-0.08072221071422137,-0.024503007953364186,0.0557151193493462,-0.08003849438150185,0.012472652247963218
CMX,0.0656740257342655,-0.03341430931092711,0.039654833397633225,0.06381345320258731,-0.021460845367490027,0.007876685739580535,-0.0075189074427922595,-0.06197680075565931,-0.03824059890372073,0.023847658572413846,0.047095042706831104
CNG,0.05682230234302555,0.06362032586947851,0.027879612559864722,0.04429355965640222,0.031289432536523464,-0.02616093355272179,-0.08431960200256339,0.05765524306695112,-0.08508743194921213,0.05201546992917134,-0.018198758494515844
CRC,0.06831941811647177,-0.002649727853026608,0.005486391823799386,-0.0028292338007039047,-0.022485169127652277,0.0020191119515227843,-0.021186952597916024,-0.03789862212523755,0.15286516537269076,0.04459230527419901,-0.050335756747858694
CRE,0.0645194542961708,-0.05081507656964571,0.016381885674969253,-0.025036330021946163,0.02668885043942622,-0.0286898807562499,0.015061576179445858,0.0006317449991923958,0.07863361928683162,-0.044272807577763765,-0.023148377539273825
