,PC1,PC2,PC3,PC4
HSL,0.055144097427519155,0.05540601406748596,0.008241566704389141,-0.0415623580225936
HT1,0.0585100135705381,0.010524537282304744,-0.07289986952820032,0.11008699071958376
HTG,0.06249949549127869,0.042402666277316155,-0.017017361062729875,-0.03507813793182355
HTI,0.05720391461896499,0.04510805730780068,-0.05856544932748551,-0.019872398786920993
HTL,0.06066748577857245,-0.050952063710363635,-0.045765619187102084,-0.03666536582265687
HTN,0.06464091077261731,-0.04208874224007839,0.06140615850038943,0.0027809126466846693
HUB,0.06900521805645926,0.015459817374547012,0.02376952955973206,0.0018782027704264588
HVH,0.06612177108378316,0.005681549656905773,-0.08314311409053665,-0.02333121478001564
HVN,0.0666665003528841,-0.021184089897644347,-0.06201928869676576,-0.021651301429981062
HVX,0.0691138701011227,-0.025441754313806235,-0.003362848383601972,0.04018506982939502
ICT,0.060490169130229386,-0.058833710977960876,-0.01588266616849832,-0.06362937919030524
IJC,0.06848833541502664,0.025208374302151657,-7.114907969213276e-06,0.038507426438910516
ILB,0.054647992253041094,-0.01472073261438809,0.06787798891133981,0.09231581043581691
IMP,0.06241122959817165,-0.05183549776140401,0.024946670828400252,-0.05514559178414599
ITC,0.05710934827179204,0.03710634143188512,-0.032541230938164474,0.08094613960239848
ITD,0.04380403251521448,-0.015696930012212652,-0.13875916891295192,0.031669935491066385
JVC,0.0674381869592334,-0.030818897071050157,0.013431284329834012,0.061688642784954784
KBC,0.06289558646602879,0.04299857570779308,0.015148902535571829,0.04005978780580657
KDC,-0.010635507782476137,-0.020404496726378063,0.1390876972409323,0.0695762996930095
KHG,0.0683060878995174,-0.011274041045562299,0.040216266680321196,0.04437000479692334
KHP,0.06643533692617652,0.028054218676556483,-0.048809840414372994,0.024346273915527662
KMR,0.06814905352283455,-0.004943096190700676,0.025595171330548543,0.06302523448926181
KOS,-0.04401739476592891,0.08306521583664978,-0.011312875829778387,0.04322519903585622
KSB,0.06192672102391627,0.042464185976021473,-0.05134597763577198,0.05713449085679303
LBM,0.06190630398362592,-0.04741210057263513,0.05783152416916691,-0.015889274192081464
LCG,0.047559938951923335,0.06956529969370515,-0.09601790707104478,0.07003549602632597
LDG,0.06438094000173829,-0.055063176617586654,0.0035259557683497587,0.034545913356181054
LGL,0.07087666638236552,-0.004111835080403424,-0.015448344051014827,0.023519376012734263
LHG,0.06859193707242625,0.027317601025846468,-0.017559005158944034,-0.024099252307691995
LIX,0.060315267681244664,-0.0414141791844245,0.04314863693816333,-0.07391993319648564
LPB,0.03431542590459006,0.10440048053117311,-0.01326770848535388,-0.057787946987519524
LSS,0.05520008376234485,0.06457088985096719,-0.04271264376936066,0.0718427711087347
MBB,0.05836334579499409,0.06233940733237611,0.014614464095339987,-0.02926134209299976
MCH,0.06296473363304812,0.02406506680131863,0.061465905596408445,-0.07000332925194626
MHC,0.05419785168504822,0.06828258729690605,-0.0015497777096769429,-0.049935700274365356
MIG,0.05412209918924946,-0.006535847700324943,0.11312147141455883,0.1026117465073922
MSB,0.06623086644643668,0.01728932868634327,-0.041925191790138976,-0.04353648149511016
MSH,0.06535276541681373,0.0011873596262857633,0.015160306294728637,-0.026234516391982658
MSN,0.05488453296695027,-0.07278911491415437,-0.0300230905913106,-0.023942772976263963
MWG,0.0627564641330431,-0.04357755978641045,0.06192674696505557,0.018911567799610896
NAB,0.02140277184651593,0.12093422698769579,0.02511842333298037,-0.01320581007237236
NAF,0.059950644047715385,0.06017213026470201,-0.057990728629606476,-0.017132531046348733
NAV,0.0582981065718345,-0.04053873328844295,-0.030096156098562123,-0.0963395643179192
NBB,0.060582333637598566,0.0462120476199125,-0.02876485042812757,-0.08745782582708503
NCT,-0.006263802379437482,0.09410714764018145,0.09392859735539412,0.054964624956550384
NHA,0.07059071082446096,0.0004301690362730846,-0.036980158885366446,0.0065530792519758
NHH,0.052658457749867556,0.06280491290546475,-0.04378857726461305,-0.08605440145398094
NKG,0.06886050763647861,0.01191634940905372,0.043390798423284145,-0.02913782410741541
NLG,0.06813059738760244,0.02916498516724814,-0.01045358275136021,0.0034971282039056944
NNC,0.056252431634807205,0.02283035178282823,-0.11356096929784917,-0.0844944733825136
NSC,0.0592979867542423,-0.02443269905176712,0.08983631997560404,0.04025281678978698
NT2,-0.03947468343185108,0.03569753927036908,-0.0708723702842138,0.15413803828407283
NTC,0.047948781111826044,0.08470094432828296,0.05890250372059332,-0.0055201681598914506
NTL,0.06918700090908059,-0.020253845114527963,0.011648351623001926,-0.045316020676234074
NVL,0.057337365573288515,-0.0640171815260123,0.06272169634888455,-0.02835370131582932
NVT,0.06486807058766951,-0.04371432967932403,0.03649267851932243,0.039991092457332164
OCB,0.05504605681294509,0.06383053446744255,-0.0576995999447739,-0.06411491004571666
OGC,0.04463027054104786,-0.06678119936649278,0.07825255303007542,0.07475970021282977
OPC,0.009673320829297857,-0.0035540645430768,-0.025507578021869395,0.012535135524669293
ORS,0.0656461261781711,0.04888740802347723,0.0034075580122322883,0.003924914741450604
PAC,0.04323390109590055,-0.07721099745599656,-0.034905937889743874,0.006477693088697604
PAN,0.07023135311113106,0.01420939974201909,-0.011616448328456569,-0.006148070035429673
PC1,0.0543536271449566,0.03452088456796855,0.06398627485871593,0.05071874190355609
PDR,0.06570479339985363,-0.031004082254217902,0.05793373462386092,-0.04773757101778778
PDV,-0.02539036679584964,0.0721012145200888,-0.08971747885076262,0.13223247732021362
PET,0.06689124070515645,0.016305000169860934,0.04626079321298399,0.06446846930926811
PGC,0.05823431447603178,-0.07015200992799228,0.009486971217830369,0.01954687480605464
PGD,0.009331464125067144,0.11275670169958668,-0.005087166461674377,0.10055906958058039
PGV,0.06786936709645229,0.02467416594003039,-0.004566370197353442,0.043569039232890724
PHC,0.06454297804627018,0.012630373442335934,-0.012639186822425482,0.03663092451685116
PHR,0.07091945587572343,-0.003509795517382914,0.014518074372158681,-0.014022785526813191
PIT,0.058320727697201515,0.0360938824708337,0.009459467493901603,-0.010880256288247838
PLP,0.06193695261823118,-0.04873725123268233,0.03762887443295354,0.07068208188991186
PLX,0.0636674238227109,0.011604689814186879,-0.09187159574961087,0.020896053298919824
PNJ,0.012300872178144828,0.005248103582956398,0.13563548796039954,-0.03922432690204708
POW,0.05812283343522975,-0.010278481155112493,-0.08979022876531076,0.07922191479765572
PPC,0.06890981775953203,-0.013914431163943376,-0.009612521191822179,-0.013803845905689982
PTC,0.06639726509344787,-0.03741118784068303,0.03439290646696122,0.05143656446295294
PTL,0.06509981386925076,-0.011767614735318139,0.009341983526492922,0.01044243180373622
PVD,0.012572856625502319,0.11701683633569736,-0.0327336058757692,0.002715668147185078
PVP,0.05628674371994125,0.06102242210843616,-0.06496329736540263,-0.0370432051023117
PVS,0.00929864868040817,0.12066758536551919,0.018031742179277242,0.022772210107324137
